"city","method","threshold","cost_loss_ratio","pev"
"Rotterdam","RF",20,0.45,0.607489994282447
"Rotterdam","RF",20,0.47,0.594072623709505
"Rotterdam","RF",20,0.49,0.575317548403009
"Rotterdam","RF",25,0.01,0.679401549559177
"Rotterdam","RF",25,0.03,0.79072045596224
"Rotterdam","RF",25,0.05,0.773248911753067
"Rotterdam","RF",25,0.07,0.713234699652357
"Rotterdam","RF",25,0.09,0.659588531768983
"Rotterdam","RF",25,0.11,0.636309875813128
"Rotterdam","RF",25,0.13,0.603318641431164
"Rotterdam","RF",25,0.15,0.568332596196373
"Rotterdam","RF",25,0.17,0.553220400398587
"Rotterdam","RF",25,0.19,0.522509978650329
"Rotterdam","RF",25,0.21,0.499857238031788
"Rotterdam","RF",25,0.23,0.471535982814178
"Rotterdam","RF",25,0.25,0.448621553884712
"Rotterdam","RF",25,0.27,0.407662993099186
"Rotterdam","RF",25,0.29,0.396060573970137
"Rotterdam","RF",25,0.31,0.4006756020486
"Rotterdam","RF",25,0.33,0.367411064975872
"Rotterdam","RF",25,0.35,0.329091960670908
"Rotterdam","RF",25,0.37,0.31077694235589
"Rotterdam","RF",25,0.39,0.305435720448663
"Rotterdam","RF",25,0.41,0.289155091117625
"Rotterdam","RF",25,0.43,0.267774699907664
"Rotterdam","RF",25,0.45,0.269993164730007
"Rotterdam","RF",25,0.47,0.281883955170946
"Rotterdam","RF",25,0.49,0.246793454223795
"Rotterdam","RAW",20,0.01,-13.2752293577982
"Rotterdam","RAW",20,0.03,-3.82945973496432
"Rotterdam","RAW",20,0.05,-1.91743119266055
"Rotterdam","RAW",20,0.07,-1.05993883792049
"Rotterdam","RAW",20,0.09,-0.579612640163099
"Rotterdam","RAW",20,0.11,-0.270725604670559
"Rotterdam","RAW",20,0.13,-0.0602916960715124
"Rotterdam","RAW",20,0.15,0.088481141692151
"Rotterdam","RAW",20,0.17,0.171762521785254
"Rotterdam","RAW",20,0.19,0.165404922742449
"Rotterdam","RAW",20,0.21,0.162407451636016
"Rotterdam","RAW",20,0.23,0.157763620027771
"Rotterdam","RAW",20,0.25,0.155136268343816
"Rotterdam","RAW",20,0.27,0.148811062289997
"Rotterdam","RAW",20,0.29,0.144609797147666
"Rotterdam","RAW",20,0.31,0.142010755628475
"Rotterdam","RAW",20,0.33,0.141016615038018
"Rotterdam","RAW",20,0.35,0.136913401064345
"Rotterdam","RAW",20,0.37,0.135070380353399
"Rotterdam","RAW",20,0.39,0.126817197649242
"Rotterdam","RAW",20,0.41,0.12314785204136
"Rotterdam","RAW",20,0.43,0.120517488690279
"Rotterdam","RAW",20,0.45,0.117924528301887
"Rotterdam","RAW",20,0.47,0.112406550373798
"Rotterdam","RAW",20,0.49,0.108274756443458
"Rotterdam","RAW",25,0.01,-2.35992578849722
"Rotterdam","RAW",25,0.03,-0.106811555791148
"Rotterdam","RAW",25,0.05,0.0288880094974278
"Rotterdam","RAW",25,0.07,0.0208585981081738
"Rotterdam","RAW",25,0.09,0.00603156242253978
"Rotterdam","RAW",25,0.11,0.00658950747655657
"Rotterdam","RAW",25,0.13,0.00639529859130593
"Rotterdam","RAW",25,0.15,0.00619195046439618
"Rotterdam","RAW",25,0.17,0.00597880242775611
"Rotterdam","RAW",25,0.19,0.00575512856214615
"Rotterdam","RAW",25,0.21,0.00552012943751796
"Rotterdam","RAW",25,0.23,0.00527292256615557
"Rotterdam","RAW",25,0.25,0.0050125313283208
"Rotterdam","RAW",25,0.27,0.00473787207745399
"Rotterdam","RAW",25,0.29,0.00444773906597466
"Rotterdam","RAW",25,0.31,0.00414078674948235
"Rotterdam","RAW",25,0.33,0.00381550892155766
"Rotterdam","RAW",25,0.35,0.00347021399652992
"Rotterdam","RAW",25,0.37,0.00310299558419848
"Rotterdam","RAW",25,0.39,0.00271169727597681
"Rotterdam","RAW",25,0.41,0.00229387026889266
"Rotterdam","RAW",25,0.43,0.00184672206832854
"Rotterdam","RAW",25,0.45,0.00136705399863287
"Rotterdam","RAW",25,0.47,0.000851184565186584
"Rotterdam","RAW",25,0.49,0.000294854784019022
"Rotterdam","RAW",20,0.01,-13.2752293577982
"Rotterdam","RAW",20,0.03,-3.82945973496432
"Rotterdam","RAW",20,0.05,-1.91743119266055
"Rotterdam","RAW",20,0.07,-1.05993883792049
"Rotterdam","RAW",20,0.09,-0.579612640163099
"Rotterdam","RAW",20,0.11,-0.270725604670559
"Rotterdam","RAW",20,0.13,-0.0602916960715124
"Rotterdam","RAW",20,0.15,0.088481141692151
"Rotterdam","RAW",20,0.17,0.171762521785254
"Rotterdam","RAW",20,0.19,0.165404922742449
"Rotterdam","RAW",20,0.21,0.162407451636016
"Rotterdam","RAW",20,0.23,0.157763620027771
"Rotterdam","RAW",20,0.25,0.155136268343816
"Rotterdam","RAW",20,0.27,0.148811062289997
"Rotterdam","RAW",20,0.29,0.144609797147666
"Rotterdam","RAW",20,0.31,0.142010755628475
"Rotterdam","RAW",20,0.33,0.141016615038018
"Rotterdam","RAW",20,0.35,0.136913401064345
"Rotterdam","RAW",20,0.37,0.135070380353399
"Rotterdam","RAW",20,0.39,0.126817197649242
"Rotterdam","RAW",20,0.41,0.12314785204136
"Rotterdam","RAW",20,0.43,0.120517488690279
"Rotterdam","RAW",20,0.45,0.117924528301887
"Rotterdam","RAW",20,0.47,0.112406550373798
"Rotterdam","RAW",20,0.49,0.108274756443458
"Rotterdam","RAW",25,0.01,-2.35992578849722
"Rotterdam","RAW",25,0.03,-0.106811555791148
"Rotterdam","RAW",25,0.05,0.0288880094974278
"Rotterdam","RAW",25,0.07,0.0208585981081738
"Rotterdam","RAW",25,0.09,0.00603156242253978
"Rotterdam","RAW",25,0.11,0.00658950747655657
"Rotterdam","RAW",25,0.13,0.00639529859130593
"Rotterdam","RAW",25,0.15,0.00619195046439618
"Rotterdam","RAW",25,0.17,0.00597880242775611
"Rotterdam","RAW",25,0.19,0.00575512856214615
"Rotterdam","RAW",25,0.21,0.00552012943751796
"Rotterdam","RAW",25,0.23,0.00527292256615557
"Rotterdam","RAW",25,0.25,0.0050125313283208
"Rotterdam","RAW",25,0.27,0.00473787207745399
"Rotterdam","RAW",25,0.29,0.00444773906597466
"Rotterdam","RAW",25,0.31,0.00414078674948235
"Rotterdam","RAW",25,0.33,0.00381550892155766
"Rotterdam","RAW",25,0.35,0.00347021399652992
"Rotterdam","RAW",25,0.37,0.00310299558419848
"Rotterdam","RAW",25,0.39,0.00271169727597681
"Rotterdam","RAW",25,0.41,0.00229387026889266
"Rotterdam","RAW",25,0.43,0.00184672206832854
"Rotterdam","RAW",25,0.45,0.00136705399863287
"Rotterdam","RAW",25,0.47,0.000851184565186584
"Rotterdam","RAW",25,0.49,0.000294854784019022
