"ExternalSiteId","Latitude","Longitude","Height"
"1000012776",51.0683,5.0524,25
"1000008165",51.071,4.7036,15
"1000018653",51.0719,4.035,7
"1000010517",51.0741,3.5749,9
"1000011510",51.0759,2.8799,2
"1000001722",51.0791994992933,4.93127827619628,18
"1000006023",51.079944,4.722333,10
"23648819",51.083,6.775,40
"1000006020",51.089413,3.784514,10
"1000007583",51.0954,6.8253,45
"1000006063",51.0967,3.8517,7
"1000006032",51.101508,5.818359,20
"1000013607",51.1022,5.8887,0
"1000008957",51.1036,3.6398,0
"1000002925",51.1082475,3.70745120000004,8
"1000009292",51.1091,3.9906,6
"1000007732",51.11,5.88,31
"1000008182",51.1159,5.1944,0
"1000012507",51.1198,3.1575,13
"1000004157",51.1208,3.0653,10
"1000005545",51.1216,4.4936,0
"1000001721",51.122068,5.9554277,30
"1000005247",51.1265,4.4763,21
"1000008231",51.1277,4.2299,14
"1000008105",51.128,4.1974,0
"1000005003",51.1286,3.8811,6
"1000006029",51.128779,4.569839,10
"1000002766",51.1299,5.939,32
"1000010512",51.1328,3.3713,0
"1000001618",51.134655,5.60403500000007,49
"1000006028",51.1347408,4.4490515,10
"1000019408",51.1349,5.7942,0
"43181977",51.13588,6.46554,84
"1000012250",51.1362,4.5433,25
"1000006009",51.1362,5.6567,39
"1000006404",51.1378,5.5902,42
"1000003385",51.1402,4.6839,3
"1000005525",51.1413,5.9663,29
"1000013394",51.1467,4.3369,17
"1000002372",51.1491,3.607,6
"1000002627",51.1514015,4.68046040000002,0
"1000001809",51.152788,5.93715650000001,28
"1000006016",51.1547,3.7086,10
"1000003698",51.1548321480686,2.9509142017364,7
"1000000770",51.1596501132787,4.11411987304689,0
"1000006017",51.16176,4.997653,15
"1000010468",51.162,3.7435,5
"1000008040",51.1632,3.3162,7
"1000006040",51.165,4.1459,10
"1000006015",51.167015,3.572062,6
"1000006039",51.1671,4.1906,10
"958976001",51.171938,4.308052,8
"1000010377",51.1742,3.852,8
"1000011615",51.1742,5.8008,13
"1000018628",51.1759,4.8205,16
"1000010469",51.1765,3.0987,0
"1000021019",51.1808,4.5152,16
"1000004961",51.1836,3.1354,0
"1000013285",51.1852,4.5661,17
"1000006030",51.186371,5.342152,10
"1000003091",51.1875901,5.216551,37
"1000001366",51.188096968806,5.52562263488767,47
"1000002148",51.189011620291,4.08920313685065,8
"907036001",51.19162,3.636417,7
"1000009301",51.1917,3.0642,0
"1000006024",51.192842,4.813395,15
"1000011403",51.1959,7.354,408
"1000002067",51.1972,2.9825,4
"1000006058",51.19893,3.814217,8
"1000006057",51.201971,4.772456,10
"1000006059",51.203889,3.804167,8
"1000006033",51.207151,3.443895,10
"1000011199",51.2084,4.3443,10
"1000012243",51.2087,3.4528,15
"1000011775",51.2119,2.9105,4
"1000011776",51.2119,2.9105,4
"1000005967",51.212093,4.398711,5
"1000001758",51.2127041288397,4.43905472517008,15
"1000011038",51.214,2.8844,3
"1000017585",51.2159,3.224,5
"1000005966",51.2173,4.4231,5
"1000015538",51.2177,4.435,26
"1000015916",51.221081,5.859932,28
"1000005965",51.222422,4.381726,5
"1000006038",51.223128,5.391508,20
"912186001",51.225,3.79,1
"1000015798",51.2279,6.0467,0
"1000003555",51.228548,6.904723,80
"1000012251",51.2312,5.3139,30
"1000001634",51.2324819040563,3.76494929947512,0
"1000001628",51.2327221,3.76831859999993,2
"1000006021",51.238839,4.417377,5
"1000008787",51.2394,5.9593,0
"1000009236",51.2437,5.9634,0
"1000019139",51.2448,6.3751,65
"1000011317",51.2465,4.3956,20
"1000007538",51.2488,5.4164,36
"1000011807",51.2536,4.7846,20
"1000012425",51.2549,5.9768,22
"1000001211",51.2553616257676,5.94109393680117,28
"1000010172",51.2594,4.6806,23
"1000006012",51.2604,2.9919,15
"1000006014",51.260578,3.580151,10
"1000001308",51.2635,5.5777,32
"1000005970",51.266873,4.293423,10
"1000011555",51.2754,3.4446,3
"1000014027",51.2798,4.8783,16
"2873524",51.2805,4.4208,14
"1000020138",51.287,4.4282,6
"1000000619",51.2887685670947,5.3262677764892,35
"1000012747",51.3084,3.139,10
"1000019591",51.3108,7.3803,327
"1000011032",51.3137,4.9513,22
"924726001",51.3162,4.8238,27
"1000011540",51.317,4.8617,26
"1000002432",51.3198,5.9942,38
"1000004158",51.3214,4.9209,41
"1000020737",51.3239,5.9963,36
"1000002398",51.3244,4.3867,5
"1000004846",51.3246,4.9522,20
"930806001",51.330066,6.592714,35
"1000012791",51.3305,4.4073,0
"1000004847",51.3355,4.9347,20
"1000000513",51.341393401507,6.12641495092612,20
"1000006489",51.3501,5.6426,40
"1000005968",51.3506,4.315,0
"1000020783",51.3523,6.6426,10
"1000009238",51.3559,4.8552,25
"1000013147",51.3575,5.3181,34
"1000013153",51.3608,6.1985,43
"1000002269",51.3618076309017,5.3707921163857,16
"1000006728",51.3623,6.0431,28
"1000001727",51.3657287542483,4.01069253444666,5
"1000010678",51.3666,6.5993,39
"1000002616",51.374,5.8468,38
"921146001",51.374692,6.174208,25
