"station_id","LOCATION","NAME","LATITUDE","LONGITUDE","ALTITUDE","sample_dates","n_sample_dates","total_obs","total_T_DRYB","total_T_DEWP","total_U_10","T_mean_sampled"
"310","310_T_b","Vlissingen locatie B",51.441389,3.595833,8,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,0,NA
"317","317_T_SG","platform BSA locatie SG",51.7,3.056667,19.06,"2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",10,1440,1341,1285,1285,12.2
"319","319_T_a","Westdorpe",51.224722,3.861111,1.7,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,10.4
"320","320_T_0","Lichteiland Goeree locatie 0",51.925833,3.67,22,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2243,2243,2243,11
"320","320_T_1","Lichteiland Goeree locatie 1",51.925833,3.67,22,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,0,NA
"320","320_T_2","Lichteiland Goeree locatie 2",51.925833,3.67,22,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,0,NA
"321","321_T_0","Europlatform locatie 0",51.997778,3.275,19,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2303,2303,2303,10.9
"321","321_T_1","Europlatform locatie 1",51.997778,3.275,19,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,0,NA
"321","321_T_2","Europlatform locatie 2",51.997778,3.275,19,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,0,NA
"323","323_T_a","Wilhelminadorp",51.530278,3.894167,14,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,10.4
"330","330_T_a","Hoek van Holland",51.991111,4.121667,11.9,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,10.8
"340","340_T_25t","Woensdrecht locatie 25t",51.447778,4.341944,19.2,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.9
"340","340_T_a","Woensdrecht locatie A",51.447778,4.341944,19.2,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.8
"340","340_T_obs07t","Woensdrecht locatie obs07t",51.447778,4.341944,19.2,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,0,NA
"340","340_T_obs25t","Woensdrecht locatie obs25t",51.447778,4.341944,19.2,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.8
"344","344_T_06t","Rotterdam locatie 06t",51.960556,4.446944,-4.3,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,288,2304,288,14.5
"344","344_T_24t","Rotterdam locatie 24t",51.960556,4.446944,-4.3,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,10.3
"348","348_T_a","Cabauw onderzoeksmast locatie A",51.969167,4.925833,-0.7,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.8
"350","350_T_28t","Gilze-Rijen locatie 28t",51.565,4.935278,14.9,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.8
"350","350_T_a","Gilze-Rijen locatie A",51.565,4.935278,14.9,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.8
"350","350_T_obs10t","Gilze-Rijen locatie obs10t",51.565,4.935278,14.9,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,0,NA
"350","350_T_obs28t","Gilze-Rijen locatie obs28t",51.565,4.935278,14.9,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,288,2304,2304,14.2
"356","356_T_a","Herwijnen",51.857778,5.145278,0.7,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.7
"370","370_T_22t","Eindhoven locatie 22t",51.449722,5.376944,22.6,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.9
"370","370_T_a","Eindhoven locatie A",51.449722,5.376944,22.6,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.8
"370","370_T_obs04t","Eindhoven locatie obs04t",51.449722,5.376944,22.6,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,0,NA
"370","370_T_obs22t","Eindhoven locatie obs22t",51.449722,5.376944,22.6,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.8
"375","375_T_24Rt","Volkel locatie 24Rt",51.658333,5.706667,22,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.8
"375","375_T_a","Volkel locatie A",51.658333,5.706667,22,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.8
"375","375_T_obs06Lt","Volkel locatie obs06Lt",51.658333,5.706667,22,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,0,0,0,NA
"375","375_T_obs24Rt","Volkel locatie obs24Rt",51.66229,5.72405,18.4,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.8
"377","377_T_a","Ell",51.196667,5.7625,30,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.9
"380","380_T_22t","Maastricht locatie 22t",50.905278,5.761944,114.3,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.8
"391","391_T_a","Arcen",51.497222,6.196111,19.5,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2304,2304,2304,9.9
"871","871_T_a","Saba",17.646111,-63.220833,31,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2162,2303,2303,27.6
"873","873_T_a","St. Eustatius",17.495485,-62.982673,36.02,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2299,2155,2155,27.2
"990","990_T_a","Bonaire",12.13,-68.275833,7.32,"2021-01-15;2021-04-15;2021-07-15;2021-10-15;2022-01-15;2022-04-15;2022-07-15;2022-10-15;2023-01-15;2023-04-15;2023-07-15;2023-10-15;2024-01-15;2024-04-15;2024-07-15;2024-10-15",16,2304,2293,2293,2293,28.2
